 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Abbey Griffin|16|322|6|65|5|24|320|11|5|17|24|11|18|47|200|51|9|5|5|11|62|25|0|7|14|16|2|1|27|6|0|6|5|5|5|6|1|6|5|6|7|1|1|9|8|9|1|8|9|3|8|1|1|1|2|3|8|7|4|7|7|5|5|4|7|5|9|2|9|5|8|0|5|7|2|2|4|2|9|0|3|3|4|7|7|3|
|Angel of Flight Alabaster|16|160|32|5|5|1|150|11|5|17|2|0|0|2|3|51|9|1|5|19|20|5|0|43|0|16|2|1|22|6|0|17|1|0|3|1|2|1|1|0|5|3|1|9|7|1|0|0|2|4|4|5|8|2|5|5|6|8|5|1|3|5|5|0|0|2|3|2|2|4|2|4|5|0|2|1|4|6|6|4|6|5|1|0|1|5|
|Angelic Overseer|16|0|32|8|3|1|150|11|4|17|3|0|0|2|3|51|9|1|5|19|3|5|0|43|0|1|2|1|22|6|0|17|1|0|1|1|2|1|5|1|0|2|2|0|2|9|5|1|4|4|0|4|1|1|3|6|6|4|1|9|9|5|3|1|2|5|3|5|6|4|1|9|5|3|2|5|4|5|8|7|1|0|7|4|3|8|
|Avacynian Priest|20|35|29|27|40|15|271|6|0|6|18|17|5|51|139|36|10|4|14|36|8|4|40|40|0|14|1|1|60|2|11|17|1|0|1|1|2|1|5|1|0|2|2|0|6|4|1|5|1|6|9|4|2|3|3|4|9|4|7|2|6|1|9|0|3|8|6|8|3|1|8|7|7|0|1|9|4|1|4|0|7|4|0|1|3|5|
|Bonds of Faith|2|606|2|8|2|4|767|0|34|5|26|2|5|34|27|29|2|14|0|36|31|5|40|0|14|8|1|1|34|4|6|17|1|0|1|1|2|0|5|0|0|0|2|4|7|1|5|6|9|1|2|0|2|9|6|9|3|9|3|3|6|4|1|7|5|4|9|7|8|1|0|9|5|0|3|3|2|8|8|9|8|7|4|8|5|9|
|Champion of the Parish|2|24|2|8|2|4|767|0|34|5|26|2|5|34|27|29|2|1|0|36|2|5|40|0|14|8|1|1|34|4|6|17|1|1|1|1|2|0|5|0|0|0|2|4|7|1|4|4|1|3|3|3|0|8|0|9|3|4|6|9|7|5|6|4|8|6|1|0|2|8|6|9|1|4|6|8|4|5|8|7|3|2|4|2|3|9|
|Chapel Geist|113|266|14|34|28|58|474|11|3|82|6|3|8|7|13|67|14|6|53|7|86|18|37|38|14|8|20|10|0|5|10|17|1|1|1|1|2|0|5|0|0|19|2|1|2|1|1|6|1|3|0|6|2|2|9|3|2|7|2|0|2|8|5|1|0|7|3|6|3|9|0|4|7|7|7|7|9|3|1|7|4|7|0|1|8|1|
|Cloistered Youth|3|7|10|56|30|41|474|15|1|50|62|13|14|12|56|33|7|9|1|10|29|6|0|37|3|8|1|10|4|2|3|17|1|1|1|1|2|0|5|2|0|19|2|1|2|1|1|6|1|3|0|6|3|1|18|0|6|0|5|1|0|3|3|2|1|7|5|5|5|5|4|6|3|7|1|2|6|6|7|9|9|8|3|8|9|9|
|Unholy Fiend|3|500|10|4|1|41|183|15|1|50|62|13|3|12|56|33|7|9|1|10|29|6|0|37|3|8|1|10|4|2|3|17|1|1|1|1|2|0|5|2|0|19|2|1|2|1|1|6|1|3|0|6|1|1|18|0|7|5|9|7|1|7|9|8|1|0|3|9|3|8|4|2|4|5|5|5|8|2|2|7|6|0|7|6|0|1|
|Dearly Departed|110|369|3|29|4|10|0|14|1|47|68|4|2|10|14|24|2|6|4|3|19|3|1|29|3|8|10|10|25|2|3|18|2|1|1|1|2|1|5|27|0|22|2|23|2|1|0|2|1|2|0|6|1|1|2|0|0|4|2|3|0|0|8|9|4|9|4|6|2|5|5|4|2|9|1|7|3|0|3|9|8|2|3|9|0|7|
|Divine Reckoning|24|125|6|29|0|10|118|14|1|47|14|1|3|2|12|24|1|1|4|3|7|3|1|29|1|8|2|10|5|2|3|6|3|4|1|1|2|4|2|25|0|22|2|9|2|1|0|2|3|2|0|6|1|1|4|0|0|2|2|2|2|3|3|6|2|0|2|2|6|1|6|6|9|7|5|7|5|3|9|1|7|5|4|3|4|1|
|Doomed Traveler|24|376|54|2|0|38|1282|31|1|192|45|22|11|26|32|140|122|23|22|0|51|4|4|24|46|102|5|10|5|3|9|6|35|1|1|1|2|10|2|1|0|63|2|6|2|8|8|5|3|13|0|6|1|1|11|0|0|2|2|2|2|2|2|6|0|0|6|1|6|7|8|9|6|9|1|1|6|7|3|9|9|3|0|9|3|4|
|Elder Cathar|19|352|7|10|2|40|638|6|5|112|126|6|0|37|34|43|1|14|22|14|34|8|49|0|17|7|5|10|5|1|11|6|35|1|1|1|2|10|2|1|0|11|2|9|2|1|8|1|3|13|5|2|1|0|11|0|0|2|2|2|2|2|2|4|7|6|2|6|6|4|2|8|0|4|4|8|5|0|7|1|3|9|2|3|0|2|
|Elite Inquisitor|0|51|7|10|2|2|638|4|1|7|126|6|0|3|0|11|1|2|22|7|18|8|3|50|17|7|5|10|5|1|11|8|1|1|1|1|2|10|2|15|1|11|2|1|2|4|8|1|0|13|5|2|1|1|0|7|0|2|2|2|1|2|2|9|5|3|5|2|8|3|7|5|0|4|7|7|4|4|0|1|8|7|6|9|5|3|
|Feeling of Dread|5|659|16|23|24|32|476|0|32|48|104|14|75|0|43|22|10|2|33|8|48|1|48|23|12|3|12|10|88|7|2|8|1|2|1|1|2|10|2|2|1|12|2|1|2|4|1|1|0|13|5|2|1|1|10|1|0|2|2|2|1|2|2|3|1|0|5|3|1|7|6|5|4|6|4|8|9|2|4|1|4|6|9|0|8|6|
|Fiend Hunter|40|307|14|14|24|4|398|0|2|48|104|2|75|17|2|22|143|0|1|18|0|1|48|30|2|8|12|1|88|1|2|8|37|8|1|1|2|6|2|0|1|12|2|6|2|4|1|1|0|13|5|2|1|1|20|1|3|2|2|2|0|2|2|6|5|8|1|6|4|0|9|3|9|1|4|7|2|9|1|3|1|7|6|6|8|4|
|Gallows Warden|24|38|43|25|8|48|238|1|1|5|5|0|8|14|93|23|17|16|20|38|126|20|16|41|26|3|9|1|20|4|3|8|37|8|1|1|2|6|2|0|1|12|2|6|2|0|1|1|0|13|5|2|1|1|20|1|1|2|2|2|0|2|2|0|7|9|9|5|4|2|8|7|5|9|0|9|8|6|8|5|7|4|8|8|8|5|
|Geist-Honored Monk|21|585|2|25|8|48|549|0|3|3|2|1|2|6|2|2|3|16|4|22|11|20|2|0|11|3|2|1|1|4|3|11|37|8|1|0|2|6|2|0|1|2|1|12|2|1|1|1|3|13|5|2|1|1|20|4|1|2|5|2|0|2|2|0|0|9|4|7|0|3|5|9|0|1|1|3|5|9|1|6|2|2|7|6|2|1|
|Ghostly Possession|28|225|27|13|9|66|486|27|3|37|26|19|13|65|72|4|49|18|0|54|25|23|31|88|0|14|1|1|61|20|29|11|1|8|1|0|2|2|2|0|1|102|1|12|2|1|0|1|3|13|5|2|6|4|20|4|1|2|5|2|0|0|2|0|0|8|9|3|1|2|1|2|6|5|8|9|5|9|6|7|4|0|0|0|0|3|
|Intangible Virtue|28|610|27|9|0|5|1571|6|10|141|8|0|4|4|45|4|42|18|3|4|59|23|31|20|8|1|21|1|3|5|14|11|30|8|1|10|4|2|2|14|0|102|0|12|2|1|1|17|2|2|3|2|8|6|2|0|1|1|2|9|0|2|2|0|2|23|4|1|8|9|8|2|0|4|1|9|6|7|7|0|9|2|1|7|0|6|
|Mausoleum Guard|20|363|6|60|6|7|401|18|0|106|113|11|16|60|42|3|0|27|27|3|37|5|6|47|12|17|1|1|29|5|5|11|4|8|1|10|4|2|2|15|0|102|0|21|2|1|1|17|2|2|3|2|8|1|4|0|1|1|2|9|0|2|2|0|2|23|4|1|3|8|2|8|2|6|2|7|3|3|6|1|4|3|5|6|3|0|
|Mentor of the Meek|29|5|1|3|2|7|102|18|0|6|2|11|16|1|4|3|0|27|27|3|0|5|6|47|2|17|1|1|29|5|1|2|3|0|1|10|4|2|2|15|0|2|0|5|2|3|0|3|0|2|1|2|8|1|0|3|2|1|2|2|0|2|3|0|2|23|4|1|4|9|5|1|2|8|4|2|2|3|7|4|3|0|1|0|2|1|
|Midnight Haunting|29|25|3|2|2|6|4|3|2|1|2|11|6|7|23|38|0|1|2|3|4|2|4|24|11|17|3|1|5|5|5|2|24|20|1|5|4|4|4|2|0|6|0|7|2|2|0|3|0|2|1|2|8|1|7|1|0|1|2|2|3|2|3|0|2|23|4|1|3|6|0|7|6|3|5|9|0|0|0|1|5|7|0|4|3|9|
|Mikaeus, the Lunarch|1|5|3|1|0|6|4|3|2|1|1|11|6|1|23|3|0|1|2|3|4|2|4|2|11|17|3|1|5|5|5|2|24|20|1|5|4|4|3|2|2|6|1|7|2|0|0|3|0|1|1|2|8|1|1|5|0|1|2|2|3|2|3|0|2|23|4|1|3|6|0|3|7|8|3|9|5|2|5|8|2|0|1|4|1|7|
|Moment of Heroism|44|470|0|39|21|2|450|23|4|116|185|3|3|0|59|74|48|2|40|36|45|8|6|64|4|33|7|1|26|0|20|2|26|20|1|5|4|2|3|2|2|16|1|7|2|0|3|1|0|0|1|2|2|0|1|5|0|1|2|2|3|2|6|0|2|23|4|1|3|1|4|1|0|3|6|3|3|2|8|2|2|6|3|5|4|6|
|Nevermore|44|470|0|39|21|2|450|6|4|116|185|3|3|1|59|3|48|2|40|36|4|8|6|1|4|33|1|1|26|0|20|1|0|20|1|5|4|2|3|2|2|16|1|2|2|1|3|1|1|0|1|0|2|0|1|5|0|1|2|2|3|0|6|0|2|23|4|1|3|1|7|4|8|4|3|4|6|3|9|6|5|3|5|4|6|7|
|Paraselene|34|266|14|25|2|2|407|10|2|0|25|6|3|30|8|35|48|15|5|6|92|6|3|39|5|33|1|1|1|5|0|1|1|5|1|5|4|2|3|8|2|16|4|6|2|1|3|1|1|0|1|0|2|0|3|5|0|1|2|2|2|0|6|0|2|23|4|1|3|5|8|4|6|7|7|8|1|7|7|4|1|1|6|7|6|0|
|Purify the Grave|19|190|12|58|38|12|514|13|7|21|61|3|3|13|84|24|15|1|14|2|78|2|14|12|1|3|20|1|0|7|3|1|19|12|1|0|4|2|3|14|2|16|4|6|2|2|3|1|1|0|3|0|2|2|3|3|0|1|2|3|3|0|6|0|2|23|4|1|3|7|2|2|6|7|8|2|9|7|1|4|8|8|7|3|1|7|
|Rally the Peasants|21|432|0|32|38|20|438|16|7|77|98|15|3|0|110|24|30|2|8|26|19|2|4|62|2|8|6|1|15|1|38|1|8|12|1|0|4|3|3|14|0|19|4|6|2|2|2|1|1|0|3|2|2|1|3|3|0|3|2|22|3|0|6|0|2|2|4|10|3|6|1|6|8|3|3|8|8|9|4|6|9|8|3|4|6|3|
|Rebuke|62|247|2|12|7|63|391|11|2|101|138|8|9|70|142|62|1|12|24|32|32|0|13|116|10|60|26|4|27|0|15|1|8|12|1|0|4|3|3|14|0|17|4|16|0|2|2|4|1|0|3|2|2|1|3|3|0|3|2|22|3|0|6|0|2|2|4|10|3|6|2|2|4|4|8|3|2|2|5|2|9|7|8|1|8|3|
|Selfless Cathar|13|292|22|0|26|14|277|29|6|6|151|14|9|19|50|64|6|21|4|26|22|0|85|88|7|35|26|0|31|1|7|8|1|12|1|0|4|1|3|14|0|17|1|16|1|2|5|4|1|0|4|5|0|2|3|3|1|3|2|22|3|0|6|0|2|2|4|2|8|6|7|7|3|0|7|4|8|3|2|8|6|5|0|3|5|7|
